Země,Prokliky,Zobrazení,CTR,Pozice
Srí Lanka,0,14,0%,16.79
Sýrie,0,10,0%,7.3
Guatemala,0,10,0%,25
Bolívie,0,9,0%,8.78
Kambodža,0,9,0%,14.78
Venezuela,0,8,0%,16
Senegal,0,8,0%,25.62
Uganda,0,6,0%,8.33
Ålandy,0,6,0%,8.83
Paraguay,0,5,0%,8.4
Tanzánie,0,5,0%,8.8
Etiopie,0,4,0%,18.5
Vanuatu,0,3,0%,9
Mongolsko,0,3,0%,9.67
Guernsey,0,3,0%,10.67
Ghana,0,3,0%,16
Salvador,0,3,0%,47
Haiti,0,3,0%,54
Pobřeží slonoviny,0,2,0%,4
Nikaragua,0,2,0%,4
Kuba,0,2,0%,4.5
Jamajka,0,2,0%,6
Svatý Martin (nizozemská část),0,2,0%,7.5
Kongo–Kinshasa,0,2,0%,9
Grónsko,0,2,0%,9.5
Angola,0,2,0%,11
Panama,0,2,0%,20.5
Fidži,0,2,0%,27
Guayana,0,2,0%,39.5
Macau,0,1,0%,1
Myanmar (Barma),0,1,0%,2
Seychely,0,1,0%,2
Grenada,0,1,0%,4
Somálsko,0,1,0%,4
Svazijsko,0,1,0%,4
Východní Timor,0,1,0%,5
Americké Panenské ostrovy,0,1,0%,5
Maledivy,0,1,0%,6
Afghánistán,0,1,0%,7
Gabon,0,1,0%,7
Monako,0,1,0%,7
Mosambik,0,1,0%,8
Zambie,0,1,0%,8
Bahamské ostrovy,0,1,0%,9
Kamerun,0,1,0%,9
Nová Kaledonie,0,1,0%,9
Čad,0,1,0%,9
Západní Sahara,0,1,0%,19
Laos,0,1,0%,19
Guadeloupe,0,1,0%,20
Tádžikistán,0,1,0%,20
Turkmenistán,0,1,0%,25
